id,name,status,,NatureServe ranking criteria,,,,
119,Accipiter cooperii,G5/S3,,http://www.natureserve.org/conservation-tools/conservation-status-assessment,,,,
141,Accipiter striatus,G5/S3,,,,,,
503,Actinemys marmorata pallida,G3G4T2T3Q/S2,,,,,,
143,Agelaius tricolor,G2G3/S2,,,,,,
502,Anniella pulchra pulchra,G3G4T3T4Q/S3,,,,,,
810,Antrozous pallidus,G5/S3,,,,,,
123,Aquila chrysaetos,G5/S3,,,,,,
201,Arctostaphylos cruzensis,"endemic, G2/S2.2",,,,,,
243,Arctostaphylos luciana,"endemic, G2/S2.2",,,,,,
228,Arctostaphylos morroensis,"endangered, endemic, G2/S2.2",,,,,,
232,Arctostaphylos osoensis,"endemic, G1/S1.2",,,,,,
234,Arctostaphylos pechoensis,"endemic, G2/S2.2",,,,,,
244,Arctostaphylos pilosula,"endemic, G3/S3",,,,,,
218,Arctostaphylos tomentosa daciticola,"endemic, G4T1/S1.1",,,,,,
107,Arenaria melanocephala,G5/SNRN,,,,,,
225,Arenaria paludicola,"endangered, endemic, G1/S1.1",,,,,,
227,Astragalus didymocarpus var. milesianus,"G5T2,S2.2",,,,,,
109,Athene cunicularia,G4/S2,,,,,,
238,Atriplex joaquinana,G2/S2,,,,,,
134,Baeolophus inornatus,G5/S3,,,,,,
908,baywood fine sands,N/A,,,,,,
131,Brachyramus marmoratus,"endangered, G3G4/S1",,,,,,
108,Branta bernicla,G5/SNR,,,,,,
122,Buteo regalis,G4/S3S4,,,,,,
140,Calidris alba,G5/SNRN,,,,,,
809,Callorhinus ursinus,G3/S1,,,,,,
239,Calochortus obispoensis,"endemic, G2/S2.1",,,,,,
224,Calochortus simulans,"endemic, G2/S2.3",,,,,,
208,Calystegia subacaulis episcopalis,"endemic, G3T1/S1.2",,,,,,
221,Camissoniopsis hardhamiae,"endemic, G1/S1",,,,,,
242,Carex obispoensis,"endemic, G2/S2.2",,,,,,
231,Castilleja densiflora obispoensis,"endemic, G5T2/S2.2",,,,,,
214,Centromadia parryi ssp. congdonii,G3T2/S2,,,,,,
139,Cerorhinca monocerata,G5/S3,,,,,,
148,Chamaea fasciata,G5/SNR,,,,,,
144,Charadrius alexandrinus nivosus,"threatened, G4T3/S2",,,,,,
213,Chenopodium littoreum,G2/S2,,,,,,
219,Chlorogalum pomeridianum var. minus,G5T2/S2,,,,,,
236,Chloropyron maritimum ssp. maritimum,G4?T2/S2.1,,,,,,
206,Chorizanthe breweri,"endemic, G2/S2.2",,,,,,
702,Cicindela hirticollis gravida,G5T2/S1,,,,,,
133,Circus cyaneus,G5/S3,,,,,,
240,Cirsium fontinale var. obispoense,"endemic, G2T2/S2",,,,,,
217,Cirsium occidentale var. lucianum,"endemic, G3G4T2/S2",,,,,,
247,Cladonia firma,G4/S1.1,,,,,,
912,coastal dune scrub,N/A,,,,,,
904,coastal salt marsh,N/A,,,,,,
901,coastal scrub,N/A,,,,,,
703,Coelus globosus,G1/S1,,,,,,
135,Contopus cooperi,G4/S4,,,,,,
235,Cordylanthus maritimus maritimus,G4?T2/S2.1,,,,,,
813,Corynorhinus townsendii,G3G4/S2S3,,,,,,
706,Danaus plexippus,G4/S3,,,,,,
220,Delphinium parryi ssp. eastwoodiae,"endemic, G4T2/S2",,,,,,
149,Dendroica petechia,G5T3?/S2,,,,,,
808,Dipodomys heermanni morroensis,"endangered, endemic, G3G4T1/S1, presumed extinct",,,,,,
202,Dithyrea maritima,"threatened, G2/S2.1",,,,,,
203,Dudleya abramsii bettinae,"endemic, G3T1/S1.2",,,,,,
230,Dudleya abramsii ssp. murina,"endemic, G3T2/S2",,,,,,
204,Dudleya blochmaniae blochmaniae,G2T2/S2.1,,,,,,
146,Elanus leucurus,G5/S3,,,,,,
147,Empidonax traillii ,"endangered, G5/S1S2",,,,,,
811,Enhydra lutris nereis,"threatened, G4T2/S2",,,,,,
114,Eremophila alpestris actia,G5T3Q/S3,,,,,,
205,Erigeron blochmaniae,"endemic, G2/S2.2",,,,,,
222,Eriodictyon altissimum,"endangered, endemic, G2Q/S2.2",,,,,,
302,Eucyclogobius newberryi,"endangered, G3/S2S3",,,,,,
812,Eumetopias jubatus,"threatened, G3/S2",,,,,,
132,Falco columbarius,G5/S3,,,,,,
137,Falco mexicanus,G5/S3,,,,,,
102,Falco peregrinus anatum,"endangered, G4T3/S2",,,,,,
905,freshwater marsh,N/A,,,,,,
237,Fritillaria viridea,G2/S2,,,,,,
118,Gavia immer,G5/S1,,,,,,
105,Haematopus bachmani,G5/S2,,,,,,
701,Helminthoglypta walkeriana,"endangered, endemic, G1/S1",,,,,,
124,Histrionicus histrionicus,G4/S2,,,,,,
226,Horkelia cuneata var. puberula,G4T2/S2.1,,,,,,
248,Hypogymia mollis,N/A,,,,,,
127,Ixobrychus exilis,G5/S1,,,,,,
128,Lanius ludovicianus,G4/S4,,,,,,
113,Larus californicus,G5/S2,,,,,,
125,Larus heermanni,G4/SNRN,,,,,,
814,Lasiurus blossevillii,G5/S3?,,,,,,
215,Lasthenia glabrata ssp. coulteri,G4T3/S2.1,,,,,,
110,Laterallus jamaicensis coturniculus,"threatened, G4T1/S1",,,,,,
223,Layia jonesii,"endemic, G1/S1.1",,,,,,
142,Limnodromus griseus,G5/SNRN,,,,,,
130,Limosa fedoa,G5/SNRN,,,,,,
207,Linderiella occidentalis,G3G4/S2S3,,,,,,
210,Malacothamnus palmeri var. involucratus,N/A,,,,,,
902,maritime chaparral ,N/A,,,,,,
233,Monardella palmeri,G2/S2.2,,,,,,
245,Monardella sinuata ssp. sinuata,G3T2/S2,,,,,,
815,Myotis ciliolabrum,G5/S2S3,,,,,,
806,Myotis evotis,G5/S4?,,,,,,
804,Myotis thysanodes,G4G5/S4,,,,,,
807,Myotis volans,G5/S4?,,,,,,
816,Myotis yumanensis,G5/S4?,,,,,,
212,Nemacaulis denudata var. denudata,G3G4T3?/S2.2,,,,,,
251,Niebla tuberculata,N/A,,,,,,
129,Numenius americanus,G5/S2,,,,,,
145,Numenius phaeopus,G5/SNRN,,,,,,
802,Nyctinomops macrotis,G5/S2,,,,,,
903,oak woodland,N/A,,,,,,
301,Oncorhynchus mykiss irideus,"threatened, G5T2Q/S2",,,,,,
136,Pandion haliaetus,G5/S3,,,,,,
249,Parmotrema hypoleucinum,N/A,,,,,,
126,Passerculus sandwichensis rostratus,G5T2T3/S2?,,,,,,
103,Pelecanus erythrorhynchos,G3/S1,,,,,,
111,Pelecanus occidentalis californicus,"Endangered, G4T3/S1S2",,,,,,
120,Phalacrocorax auritus,G5/S3,,,,,,
805,Phoca vitulina,G5/SNR,,,,,,
501,Phrynosoma coronatum frontale,G4G5/S3S4,,,,,,
911,pioneer dune,N/A,,,,,,
705,Plebejus icarioides moroensis,"endemic, G5T1T3/S1S3",,,,,,
704,Polyphylla species novae 'morroensis',endemic,,,,,,
910,ponds,N/A,,,,,,
138,Progne subis,G5/S3,,,,,,
117,Ptychoramphus aleuticus,G4/S2S4,,,,,,
241,Pyrgulopsis taylori,"endemic, G1/S1",,,,,,
112,Rallus longirostris obsoletus,"endangered, G5T1/S1",,,,,,
601,Rana draytonii,"threatened, G4T2T3,S2S3",,,,,,
906,riparian scrub,N/A,,,,,,
907,riparian woodland,N/A,,,,,,
106,Rynchops niger,G5/S1S3,,,,,,
246,Sanicula maritima,G2/S2.2,,,,,,
101,Selasphorus sasin,G5/SNR,,,,,,
211,Senecio aphanactis,G3?/S2,,,,,,
909,serpentine,N/A,,,,,,
216,Sidalcea hickmanii ssp. anomala,"endemic, G3T1/S1",,,,,,
121,Sterna elegans,G2/S1,,,,,,
229,Streptanthus albidus ssp. peramoenus,G2T2/S2.2,,,,,,
115,Strix occidentalis occidentalis,G3T3/S3,,,,,,
209,Suaeda californica,"endangered, endemic, G1/S1.1",,,,,,
250,Sulcaria isidiifera,"endemic, G1/S1.1",,,,,,
104,Synthliboramphus antiquus,G4/SNRN,,,,,,
801,Taxidea taxus,G5/S4,,,,,,
116,Toxostoma redivivum,G5/SNR,,,,,,
803,Zalophus californianus,G5/SNR,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
