Common Name,Latin Name,Threatened/Endangered,Charismatic,Migratory,Sig. Economic Value
Sea otter,Enhydra lutris nereis,1,1,0,1
Long-billed curlew,Numenius americanus,0,0,1,1
Long-legged myotis,Myotis volans,0,0,0,0
Snowy plover,Charadrius alexandrinus nivosus,1,1,1,0
Marbled murrelet,Brachyramus marmoratus,1,1,0,0
Banded dune snail,Helminthoglypta walkeriana,1,0,0,0
California gull,Larus californicus,0,0,1,0
California red-legged frog,Rana draytonii,1,0,0,0
California sea lion,Zalophus californianus,0,1,1,1
California rainbow trout,Oncorhynchus mykiss irideus,1,0,0,1
Peregrine falcon,Falco peregrinus anatum,1,1,1,0
Northern tidewater goby,Eucyclogobius newberryi,1,0,0,0
Cape horned lizard,Phrynosoma coronatum frontale,0,0,0,0
Harlequin duck,Histrionicus histrionicus,0,0,0,0
Stellar sea lion,Eumetopias jubatus,1,1,0,1
Southwestern pond turtle,Actinemys marmorata,1,1,0,0
Beetle,Coelus globosus,0,0,0,0
Burrowing owl,Athene cunicularia,0,1,1,0
Allen's hummingbird,Selasphorus sasin,0,1,1,0
Fairy shrimp,Linderiella occidentalis,0,0,0,0
